Name,Latitude,Longitudes
Mauli Multispeciality Hospital,18.740592,73.6377871
Government Pet Clinic,18.7407169,73.6338866
MAVAL HOSPITAL,18.7417147,73.6338848
"Shree medical ,kashil",17.4879226,74.08389609999999
Dr KK Verma Ji Room Maharashtra,17.5039061,74.1159211
Venegaon Hospital,17.5079672,74.1129005
Primary Health Center(PHC),17.5073315,74.11382789999999
प्राथमिक आरोग्य उपकेंद्र,17.5073462,74.1138285
Omkar Clinic,17.4536389,74.1124785
"Primary Health Centre, Indoli",17.4389706,74.0781358
Governtment Health Care Center,17.438958,74.078182
Prakruti Ayurvedic Health Resort,17.6945992,73.9414631
Shripad medical vennanagar,17.7257747,73.92898439999999
Primary Health Centre,17.7313788,73.9182955
Dr. Ayurvedik,17.7107628,73.9738119
Aadhar Hospital Varye,17.7348504,73.9845699
